id,neighbourhood group,neighbourhood,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,reviews per month,review rate number,availability 365
1001254,1,Kensington,0,2,2020,1352400,270200,10.0,9,0.21,4.0,0.22
1002102,2,Midtown,1,0,2007,198800,39200,30.0,45,0.38,4.0,0.38
1002403,2,Harlem,2,2,2005,868000,173600,3.0,0,0.4166666666666667,5.0,0.04
1003689,2,East Harlem,1,0,2009,285600,57400,10.0,9,0.1,3.0,0.21
1004650,1,Bedford-Stuyvesant,1,2,2015,99400,19600,45.0,49,0.4,5.0,0.39
1007411,2,Upper West Side,2,0,2008,848400,169400,5.0,53,0.43,4.0,0.55
1012382,2,East Harlem,1,0,2013,393400,78400,7.0,0,0.25,3.0,0.05
1012934,1,Williamsburg,2,0,2016,667800,133000,3.0,9,0.07,3.0,0.47
1014591,1,Park Slope,0,2,2005,1142400,228200,2.0,71,0.61,4.0,0.06
1015696,1,Windsor Terrace,1,2,2021,742000,148400,1.0,19,1.37,5.0,0.06
1016800,2,Hell's Kitchen,1,0,2016,292600,58800,10.0,58,0.49,0.0,0.72
1019010,2,Harlem,2,2,2007,716800,142800,2.0,88,1.42,0.0,0.54
1021771,1,Bedford-Stuyvesant,1,2,2004,284200,57400,60.0,0,0.0,0.0,0.19
1026190,2,Harlem,2,0,2006,86800,16800,7.0,97,0.84,0.0,0.58
1059880,1,Park Slope,1,0,2008,340200,68600,30.0,88,0.79,2.0,0.27
1063194,1,Clinton Hill,2,2,2014,1065400,212800,2.0,19,0.2,4.0,0.44
1065403,2,Kips Bay,2,0,2008,803600,161000,5.0,38,0.38,3.0,0.56
1068717,1,South Slope,0,0,2021,1394400,278600,2.0,16,0.24,0.0,0.6
1069269,2,Upper West Side,2,0,2008,1103200,221200,7.0,13,0.12,0.0,0.33
1070926,1,Williamsburg,0,2,2004,922600,184800,1.0,9,0.08,4.0,0.29
1072030,2,Washington Heights,2,2,2010,1030400,205800,15.0,36,0.33,5.0,0.27
1076449,2,West Village,0,0,2013,368200,74200,29.0,26,0.25,5.0,0.07
1077001,1,Flatlands,1,2,2020,134400,26600,2.0,2,0.02,4.0,0.08
1084733,2,West Village,1,2,2009,1321600,264600,4.0,79,0.74,3.0,0.64
1091913,1,DUMBO,0,2,2016,539000,107800,47.0,14,0.16666666666666666,2.0,0.48
1092466,2,Upper East Side,2,0,2021,1330000,266000,81.0,4,0.08333333333333333,1.0,0.08
1095779,1,Bushwick,1,2,2014,704200,141400,275.0,47,0.94,5.0,0.28
1097436,2,East Village,2,2,2020,259000,51800,99.0,84,0.78,4.0,0.61
1099093,2,West Village,0,0,2017,931000,186200,189.0,86,0.8,1.0,0.2
1100198,2,West Village,0,0,2012,571200,114800,340.0,38,0.36,1.0,0.55
1100750,2,Harlem,0,0,2019,841400,168000,128.0,18,1.79,3.0,0.34
1101855,3,Ridgewood,2,0,2011,1013600,203000,166.0,10,0.11,4.0,0.18
1117871,1,Bedford-Stuyvesant,0,2,2019,875000,212800,2.0,23,0.22,5.0,0.62
1119528,1,Williamsburg,0,2,2017,183400,36400,4.0,82,0.3333333333333333,4.0,0.01
1120081,1,Fort Greene,0,2,2005,621600,124600,3.0,37,0.35,1.0,0.07
1121185,1,Greenpoint,0,0,2017,725200,145600,2.0,69,0.65,2.0,0.42
1127260,2,Roosevelt Island,1,2,2018,337400,67200,7.0,17,0.3,4.0,0.12
1127813,2,Lower East Side,0,0,2017,75600,15400,3.0,41,0.39,3.0,0.12
1128917,1,Greenpoint,2,0,2018,712600,142800,2.0,69,0.67,5.0,0.6
1130022,2,Midtown,2,0,2003,823200,165200,30.0,82,0.78,1.0,0.1
1131127,2,Greenwich Village,1,0,2011,1223600,245000,5.0,10,0.1,4.0,0.3
1137202,2,Midtown,1,0,2015,113400,22400,200.0,92,0.9,1.0,0.68
1153771,1,Bedford-Stuyvesant,0,2,2015,515200,103600,5.0,64,0.67,5.0,0.18
1154323,1,Williamsburg,2,2,2016,950600,190400,3.0,0,0.16666666666666666,2.0,0.04
1166474,1,Greenpoint,0,2,2011,859600,172200,452.0,6,0.1,4.0,0.04
1167578,2,Upper West Side,1,0,2008,85400,16800,30.0,48,0.55,3.0,0.24
1169235,2,East Village,0,2,2008,1096200,219800,3.0,52,0.63,4.0,0.63
1172549,0,Kingsbridge,0,0,2009,77000,15400,30.0,4,0.35,5.0,0.14
